MMM
JOBS
ABT
ABBV
ACN
ATVI
AYI
ADBE
AAP
AVAV
AMG
AFL
A
APD
AKAM
ALK
ALB
AA
ARE
ALXN
BABA
ALGN
ALLE
AGN
ADS
LNT
GOOGL
AABA
MO
ACH
AMZN
AMCX
AMD
AEE
AAL
AXP
AIG
AMT
AMP
AME
AMGN
APH
ADI
BUD
ANSS
ANTM
AON
APA
AIV
AAPL
AMAT
APTV
ADM
ARNC
ANET
AJG
AIZ
T
ADSK
ADP
AN
AZO
AVB
AVY
AVP
BIDU
BHGE
BLL
BAC
BK
BAX
BBT
BDX
BBBY
BRK.B
BBY
BIG
BIIB
BLK
BA
BKNG
BAH
BWA
BXP
BSX
BHF
BMY
BTI
AVGO
BR
BF.B
CHRW
COG
CDNS
CPB
COF
CPRI
CAH
CSL
KMX
CCL
CRI
CASY
CAT
CBS
CELG
CNC
CNP
CTL
CERN
CF
CHTR
CHK
CVX
CBPO
CEA
LFC
CHL
ZNH
CHA
CMG
CB
CHD
CI
XEC
CINF
CTAS
CSCO
C
CFG
CTXS
CLF
CME
CMS
KO
CTSH
CL
COLM
CMCSA
CMA
CAG
CXO
ED
COP
STZ
CLR
GLW
COST
CVET
CCI
CMI
CVS
DHI
DHR
DRI
PLAY
DVA
DE
DLPH
DAL
XRAY
DVN
DLR
DFS
DISCA
DISCK
DG
DLTR
D
DOV
DWDP
RDY
DXC
ETFC
EMN
ETN
EBAY
ECL
EIX
EW
EA
LLY
EMR
ENDP
ET
EOG
EPAM
EQT
EFX
EQIX
ETRN
ESS
RE
ES
EXC
EXPE
EXPD
EXR
XOM
FFIV
FB
FAST
FDX
RACE
FIS
FITB
FSLR
FISV
FLIR
FLS
FLR
FMC
F
FTV
FBHS
BEN
FCX
FTR
GPS
GRMN
IT
GD
GE
GIS
GM
GPC
GILD
GPN
GS
GT
GOOG
GSH
HRB
HAL
HBI
HOG
HRS
HIG
HAS
HCA
HCP
HP
HSIC
HSY
HES
HPE
HLT
HOLX
HON
HRL
HST
HPQ
HNP
HTHT
HUM
HBAN
IBM
IBN
IDXX
INFO
ITW
ILMN
INCY
IR
INTC
ICE
IP
INTU
ISRG
IVZ
IPG
IPGP
IRM
JEC
JBHT
JD
JEF
SJM
JNJ
JCI
JPM
JNPR
KSU
K
KDP
KEY
KMB
KIM
KMI
KLAC
KEP
KHC
KR
LB
LLL
LH
LRCX
LM
LEG
LEN
LPL
L
LIN
LKQ
LMT
L
LOW
LYB
MTB
MAC
M
MNK
MRO
MPC
MAR
MMC
MLM
MAS
MA
MAT
MCD
MKC
MCK
MDT
MLCO
MRK
MET
MTD
MFGP
MCHP
MU
MSFT
MAA
MHK
TAP
MOMO
MDLZ
MNST
MCO
MS
MOS
MSI
MUR
MYL
NDAQ
NOV
NAVI
NTAP
NFLX
NWL
NEM
NWS
NWSA
NEE
NLSN
NKE
NBL
NOK
JWN
NSC
NTRS
NOC
NRG
NUE
NVDA
ORLY
OXY
OMC
OKE
ORCL
OI
PCAR
PANW
PH
PDCO
PYPL
PBCT
PEP
PKI
PRSP
PTR
PFE
PCG
PM
PSX
PXD
PBI
PNC
PPG
PPL
PFG
PG
PGR
PLD
PRU
PEG
PSA
PHM
PVH
QRVO
QCOM
PWR
DGX
RL
RRC
RJF
RTN
O
RHT
REG
REGN
RF
RSG
RHI
ROK
ROP
ROST
RCL
R
SPGI
CRM
SLB
STX
SEE
SEIC
SMI
SRE
SHW
SIG
SPG
SHI
SKM
SWKS
SLG
SNA
SOHU
SO
LUV
SWN
SAVE
SPLK
SQ
SWK
SBUX
STT
SRCL
SYK
SYMC
SYF
SNPS
SYY
TROW
TPR
TGT
TTM
TEL
FTI
TGNA
TDC
TSLA
TXN
TXT
AES
ALL
SCHW
CLX
COO
EL
HD
WMB
TMO
TIF
TJX
TMK
TOT
TSS
TSCO
TDG
RIG
TRV
TRIP
FOX
FOXA
TWTR
TSN
UDR
ULTA
UAA
UA
UNP
UAL
UPS
URI
UTX
UNH
UHS
UNM
URBN
USB
VLO
VAR
VTR
VEON
VRSN
VRSK
VZ
VRTX
VFC
VIAB
VIPS
V
VNO
VMC
WAB
WMT
WBA
DIS
WM
WAT
WEC
WB
WFC
WELL
WDC
WU
WRK
WY
WHR
WLTW
GWW
WYNN
XEL
XRX
XLNX
XYL
YUM
YY
ZBH
ZION
ZTS
